Country,Business & Innovation,Employment,Environment Health,Financial Health,Happiness,Health,Immigration Inflow,Safety
Australia,60.82,82.74,95.0,66.13,47.5,82.28,58.74,52.5
Canada,57.78,84.35,65.84,51.68,51.34,82.62,51.83,87.56
France,56.84,56.28,48.34,49.86,70.0,49.54,10.18,30.04
Germany,50.81,83.32,61.25,46.76,66.86,31.48,33.26,64.5
Italy,27.11,29.19,10.0,10.0,22.09,52.78,21.49,18.76
Spain,19.02,10.0,34.16,20.37,60.38,68.12,10.61,45.71
Sweden,88.46,88.57,92.92,63.21,66.08,72.72,10.0,74.84
Switzerland,77.34,96.94,58.75,73.0,69.78,81.93,10.2,100.0
United Kingdom,63.29,81.33,64.59,32.83,39.14,50.4,47.62,45.66
United States,70.61,74.54,59.58,81.69,40.18,53.12,100.0,48.18
