Country,Value,Indicator
Canada,98.2,Ease of starting a new business
Australia,96.5,Ease of starting a new business
Sweden,94.6,Ease of starting a new business
United Kingdom,94.6,Ease of starting a new business
France,93.1,Ease of starting a new business
United States,91.2,Ease of starting a new business
Italy,91.1,Ease of starting a new business
Switzerland,88.5,Ease of starting a new business
Spain,86.3,Ease of starting a new business
Germany,83.4,Ease of starting a new business
Switzerland,66.3,Global Innovation Index
Sweden,63.6,Global Innovation Index
United Kingdom,61.9,Global Innovation Index
United States,61.4,Global Innovation Index
Germany,57.9,Global Innovation Index
Canada,54.7,Global Innovation Index
France,54.0,Global Innovation Index
Australia,53.1,Global Innovation Index
Spain,49.2,Global Innovation Index
Italy,47.2,Global Innovation Index
Switzerland,93.8,Political Stability/Absence of Terrorism
Canada,92.1,Political Stability/Absence of Terrorism
Australia,89.8,Political Stability/Absence of Terrorism
Sweden,89.6,Political Stability/Absence of Terrorism
Germany,86.1,Political Stability/Absence of Terrorism
United States,78.3,Political Stability/Absence of Terrorism
Italy,75.2,Political Stability/Absence of Terrorism
United Kingdom,73.8,Political Stability/Absence of Terrorism
France,71.7,Political Stability/Absence of Terrorism
Spain,70.7,Political Stability/Absence of Terrorism
Sweden,3.2,R&D Spend - % of GDP
Switzerland,3.0,R&D Spend - % of GDP
Germany,2.8,R&D Spend - % of GDP
United States,2.7,R&D Spend - % of GDP
France,2.3,R&D Spend - % of GDP
Australia,2.2,R&D Spend - % of GDP
United Kingdom,1.7,R&D Spend - % of GDP
Canada,1.6,R&D Spend - % of GDP
Italy,1.3,R&D Spend - % of GDP
Spain,1.2,R&D Spend - % of GDP
