"Rank","Economy","Strength / Weakness","Value","Score"
"1","Korea, Republic of","Strength","4.3","100.0"
"2","Israel","Strength","4.1","95.7"
"3","Japan","Strength","3.6","83.3"
"4","Finland","","3.2","73.7"
"5","Sweden","Strength","3.2","73.4"
"6","Denmark","Strength","3.1","71.6"
"7","Austria","Strength","3.0","69.6"
"8","Switzerland","","3.0","68.8"
"9","Germany","","2.8","65.9"
"10","United States of America","","2.7","63.1"
"11","Belgium","","2.5","57.0"
"12","Slovenia","","2.4","55.1"
"13","France","","2.3","52.1"
"14","Australia","","2.2","50.6"
"15","China","","2.0","47.1"
"16","Singapore","","2.0","46.1"
"17","Czech Republic","","2.0","46.0"
"18","Netherlands","","2.0","45.4"
"19","Iceland","","1.9","43.5"
"20","Norway","","1.7","39.2"
"21","United Kingdom","","1.7","39.0"
"22","Canada","","1.6","36.9"
"23","Ireland","","1.5","34.7"
"24","Estonia","","1.4","32.7"
"25","Hungary","","1.4","31.2"
"26","Italy","","1.3","29.3"
"27","Portugal","","1.3","29.2"
"28","Luxembourg","","1.3","28.5"
"29","Brazil","","1.2","28.1"
"30","Spain","","1.2","27.7"
"31","Russian Federation","","1.2","26.9"
"32","New Zealand","","1.2","26.5"
"33","Malaysia","","1.1","24.7"
"34","Lithuania","","1.0","22.8"
"35","Turkey","","1.0","22.7"
"36","Poland","","0.9","21.1"
"37","Slovakia","","0.9","19.8"
"38","Malta","","0.8","18.9"
"39","Greece","","0.8","18.6"
"40","India","","0.8","18.3"
"41","Croatia","","0.8","17.5"
"42","Kenya","","0.8","17.4"
"43","Bulgaria","","0.8","17.4"
"44","Serbia","","0.8","17.2"
"45","South Africa","","0.7","16.2"
"46","Hong Kong (China)","","0.7","16.1"
"47","Morocco","","0.7","15.8"
"48","United Arab Emirates","","0.7","15.4"
"49","Latvia","","0.7","15.2"
"50","Tunisia","","0.7","15.0"
"51","Egypt","","0.7","14.9"
"52","Belarus","","0.7","14.8"
"53","Mali","","0.7","14.8"
"54","Ukraine","","0.7","14.5"
"55","Argentina","","0.6","13.4"
"56","Ethiopia","Strength","0.6","13.2"
"57","Costa Rica","","0.6","12.2"
"58","Senegal","","0.5","11.7"
"59","Mexico","","0.5","11.6"
"60","Tanzania, United Republic of","Strength","0.5","11.4"
"61","Uganda","","0.5","10.1"
"62","Cyprus","","0.5","10.1"
"63","Qatar","","0.5","10.0"
"64","The Former Yugoslav Republic (FYR) of Macedonia","","0.4","9.3"
"65","Jordan","","0.4","9.2"
"66","Mozambique","","0.4","8.9"
"67","Romania","","0.4","8.0"
"68","Chile","","0.4","7.9"
"69","Ghana","","0.4","7.8"
"70","Montenegro","","0.4","7.8"
"71","Moldova, Republic of","","0.4","7.7"
"72","Thailand","","0.4","7.5"
"73","Ecuador","","0.3","7.0"
"74","Iran, Islamic Republic of","","0.3","6.6"
"75","Uruguay","","0.3","6.5"
"76","Nepal","","0.3","6.1"
"77","Kuwait","","0.3","6.0"
"78","Pakistan","","0.3","5.8"
"79","Zambia","","0.3","5.5"
"80","Bosnia and Herzegovina","","0.3","5.1"
"81","Botswana","","0.3","4.9"
"82","Armenia","","0.2","4.6"
"83","Mongolia","","0.2","4.3"
"84","Togo","","0.2","4.1"
"85","Nigeria","","0.2","4.1"
"86","Azerbaijan","","0.2","3.9"
"87","Burkina Faso","","0.2","3.7"
"88","Colombia","Weakness","0.2","3.5"
"89","Viet Nam","","0.2","3.4"
"90","Mauritius","Weakness","0.2","3.2"
"91","Panama","","0.2","3.2"
"92","Kazakhstan","","0.2","3.1"
"93","Oman","","0.2","3.0"
"94","Bolivia, Plurinational State of","","0.2","2.6"
"95","Albania","","0.2","2.6"
"96","Namibia","Weakness","0.1","2.3"
"97","Philippines","Weakness","0.1","2.2"
"98","Kyrgyzstan","","0.1","1.9"
"99","Burundi","","0.1","1.8"
"100","Tajikistan","","0.1","1.7"
"101","Madagascar","","0.1","1.4"
"102","Sri Lanka","Weakness","0.1","1.3"
"103","Georgia","Weakness","0.1","1.3"
"104","Paraguay","Weakness","0.1","1.0"
"105","Indonesia","Weakness","0.1","0.9"
"106","Saudi Arabia","Weakness","0.1","0.7"
"107","El Salvador","Weakness","0.1","0.3"
"108","Guatemala","Weakness","0.0","0.0"
